SaleDate,CustomerType,Area,Category,SaleAmount,SaleYear
01/02/15,Contractor,Mid-Town,Appliances,249.44,2015
01/02/15,Home Builder,East,Electrical,114.05,2015
01/02/15,Home Builder,East,Appliances,1687.92,2015
01/02/15,Home Builder,West,Appliances,476.18,2015
01/02/15,Contractor,East,Appliances,334.98,2015
01/02/15,Contractor,Mid-Town,Materials,31.76,2015
01/02/15,Contractor,Mid-Town,Materials,51.55,2015
01/02/15,Home Builder,East,Materials,195.88,2015
01/02/15,Home Builder,East,Materials,15.15,2015
01/02/15,Contractor,East,Materials,19.23,2015
01/02/15,Contractor,East,Tools,1573.70,2015
01/02/15,Home Builder,East,Tools,63.25,2015
01/02/15,Home Builder,East,Tools,342.24,2015
01/02/15,Home Builder,East,Tools,606.14,2015
01/03/15,Contractor,Mid-Town,Appliances,217.82,2015
01/03/15,Contractor,Mid-Town,Appliances,328.99,2015
01/03/15,Contractor,Mid-Town,Appliances,151.34,2015
01/03/15,Consumer,East,Landscaping,28.21,2015
01/03/15,Contractor,East,Appliances,262.04,2015
01/03/15,Contractor,Mid-Town,Electrical,10.33,2015
01/03/15,Contractor,Mid-Town,Materials,13.19,2015
01/03/15,Contractor,Mid-Town,Materials,2.41,2015
01/03/15,Contractor,West,Electrical,568.54,2015
01/03/15,Consumer,East,Materials,123.22,2015
01/03/15,Consumer,East,Materials,35.71,2015
01/03/15,Consumer,South,Materials,39.36,2015
01/03/15,Contractor,East,Tools,560.43,2015
01/04/15,Contractor,East,Appliances,89.12,2015
01/04/15,Contractor,East,Landscaping,1188.10,2015
01/04/15,Contractor,East,Appliances,89.65,2015
01/04/15,Contractor,East,Electrical,23.94,2015
01/04/15,Contractor,East,Materials,88.09,2015
01/04/15,Contractor,East,Tools,452.66,2015
01/05/15,Consumer,Mid-Town,Appliances,398.63,2015
01/05/15,Contractor,East,Materials,9.86,2015
01/05/15,Contractor,East,Materials,20.44,2015
01/05/15,Contractor,Mid-Town,Electrical,10.68,2015
01/05/15,Consumer,Mid-Town,Materials,7.27,2015
01/05/15,Consumer,Mid-Town,Tools,1379.24,2015
01/06/15,Contractor,Mid-Town,Materials,32.66,2015
01/06/15,Contractor,Mid-Town,Materials,41.90,2015
01/06/15,Contractor,South,Tools,201.83,2015
01/07/15,Contractor,East,Materials,59.85,2015
01/07/15,Contractor,East,Materials,17.58,2015
01/07/15,Contractor,East,Materials,13.24,2015
01/07/15,Home Builder,West,Materials,87.38,2015
01/07/15,Home Builder,West,Materials,57.28,2015
01/07/15,Home Builder,West,Tools,61.79,2015
01/08/15,Contractor,West,Materials,29.88,2015
01/08/15,Contractor,West,Materials,2.20,2015
